"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"North Carolina - Private, nonprofit",2014-15,0.59,28838,17157,10904,0.63,8218,30307,0.58
"North Carolina - Private, nonprofit",2013-14,0.6,28012,16725,10607,0.63,7654,29202,0.58
"North Carolina - Private, nonprofit",2012-13,0.62,27051,16682,10672,0.63,7461,27972,0.58
"North Carolina - Private, nonprofit",2011-12,0.6,27024,16224,11330,0.66,6907,26807,0.56
"North Carolina - Private, nonprofit",2010-11,0.63,25094,15859,11577,0.67,6671,25539,0.58
"North Carolina - Private, nonprofit",2009-10,0.6,25267,15046,10457,0.64,7402,24625,0.57
"North Carolina - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,12032,N/A
"North Carolina - Private, for-profit",2015-16,N/A,N/A,N/A,3271,0.81,9565,13026,0.53
"North Carolina - Private, for-profit",2014-15,N/A,N/A,N/A,3906,0.8,9173,13509,0.51
"North Carolina - Private, for-profit",2013-14,N/A,N/A,N/A,4656,0.78,9320,13824,0.52
"North Carolina - Private, for-profit",2012-13,N/A,N/A,N/A,4296,0.78,9425,13649,0.57
"North Carolina - Private, for-profit",2011-12,N/A,N/A,N/A,4547,0.8,8785,14092,0.57
"North Carolina - Private, for-profit",2010-11,N/A,N/A,N/A,5030,0.8,8089,15183,0.55
"North Carolina - Private, for-profit",2009-10,N/A,N/A,N/A,6304,0.83,9017,17024,0.58
"North Dakota - Total",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,7797,N/A
"North Dakota - Total",2015-16,N/A,N/A,N/A,5022,0.59,8209,7568,0.49
"North Dakota - Total",2014-15,N/A,N/A,N/A,4982,0.59,7941,7330,0.48
"North Dakota - Total",2013-14,N/A,N/A,N/A,5084,0.58,7747,7112,0.49
"North Dakota - Total",2012-13,N/A,N/A,N/A,5481,0.61,7397,6842,0.48
"North Dakota - Total",2011-12,N/A,N/A,N/A,5650,0.63,7161,6627,0.47
"North Dakota - Total",2010-11,0.83,27580,22918,5610,0.62,7023,6383,0.49
"North Dakota - Total",2009-10,0.81,26429,21332,5542,0.63,7073,6202,0.46
"North Dakota - Public",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,6872,N/A
"North Dakota - Public",2015-16,N/A,N/A,N/A,4336,0.59,8163,6733,0.49
"North Dakota - Public",2014-15,N/A,N/A,N/A,4349,0.6,7945,6559,0.48
"North Dakota - Public",2013-14,N/A,N/A,N/A,4329,0.58,7810,6320,0.49
"North Dakota - Public",2012-13,N/A,N/A,N/A,4766,0.61,7412,6190,0.48
"North Dakota - Public",2011-12,N/A,N/A,N/A,4935,0.63,7124,6034,0.47
"North Dakota - Public",2010-11,0.83,28008,23162,4844,0.63,6855,5812,0.48
"North Dakota - Public",2009-10,0.81,26655,21576,4749,0.64,7030,5625,0.46
"North Dakota - Private, nonprofit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,14782,N/A
"North Dakota - Private, nonprofit",2015-16,N/A,N/A,N/A,504,0.56,8013,14698,0.41
"North Dakota - Private, nonprofit",2014-15,0.58,33936,19683,470,0.52,7643,13005,0.47
"North Dakota - Private, nonprofit",2013-14,N/A,N/A,N/A,541,0.56,7153,13146,0.43
"North Dakota - Private, nonprofit",2012-13,N/A,N/A,N/A,523,0.59,6816,12443,0.4
"North Dakota - Private, nonprofit",2011-12,0.81,28970,23466,489,0.55,6649,11611,0.43
"North Dakota - Private, nonprofit",2010-11,0.85,25750,21847,457,0.5,7052,10695,0.45
"North Dakota - Private, nonprofit",2009-10,0.8,25439,20281,489,0.52,7028,10107,0.39
"North Dakota - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,9360,N/A
"North Dakota - Private, for-profit",2015-16,N/A,N/A,N/A,182,0.69,9860,9360,0.6
"North Dakota - Private, for-profit",2014-15,N/A,N/A,N/A,163,0.65,8687,10764,0.56
"North Dakota - Private, for-profit",2013-14,N/A,N/A,N/A,214,0.63,7980,10764,0.63
"North Dakota - Private, for-profit",2012-13,N/A,N/A,N/A,192,0.55,8584,12650,0.62
"North Dakota - Private, for-profit",2011-12,N/A,N/A,N/A,226,0.68,9066,12640,0.59
"North Dakota - Private, for-profit",2010-11,N/A,N/A,N/A,309,0.78,9606,13560,0.67
"North Dakota - Private, for-profit",2009-10,N/A,N/A,N/A,304,0.71,7823,13200,0.64
"Nebraska - Total",2016-17,0.54,25750,13905,N/A,N/A,N/A,11085,N/A
"Nebraska - Total",2015-16,0.61,26585,16217,8817,0.53,5929,10987,0.52
"Nebraska - Total",2014-15,0.6,26235,15746,8754,0.52,6031,10286,0.5
"Nebraska - Total",2013-14,0.63,26278,16497,9206,0.54,6021,9932,0.5
"Nebraska - Total",2012-13,0.62,26490,16361,9315,0.56,5928,9528,0.49
"Nebraska - Total",2011-12,0.63,26473,16807,9661,0.57,5706,9137,0.48
"Nebraska - Total",2010-11,0.63,24287,15368,9494,0.55,5431,8802,0.5
"Nebraska - Total",2009-10,0.62,21227,13167,10604,0.57,6209,8463,0.51
"Nebraska - Public",2016-17,0.52,22278,11584,N/A,N/A,N/A,6278,N/A
"Nebraska - Public",2015-16,0.6,24835,14901,6113,0.48,5337,6108,0.48
"Nebraska - Public",2014-15,0.57,22762,12931,6062,0.46,5356,5819,0.47
"Nebraska - Public",2013-14,0.61,24599,14925,6176,0.47,5342,5623,0.46
"Nebraska - Public",2012-13,0.59,24130,14281,6378,0.5,5259,5397,0.45
"Nebraska - Public",2011-12,0.61,23982,14566,6859,0.53,5129,5185,0.45
"Nebraska - Public",2010-11,0.6,22222,13313,6448,0.49,4676,4916,0.47
"Nebraska - Public",2009-10,0.56,17677,9929,6673,0.51,4722,4670,0.47
"Nebraska - Private, nonprofit",2016-17,0.61,33281,20301,N/A,N/A,N/A,30466,N/A
"Nebraska - Private, nonprofit",2015-16,0.67,33147,22208,2352,0.69,7256,29014,0.65
"Nebraska - Private, nonprofit",2014-15,0.67,32593,21819,2269,0.69,7400,27769,0.64
"Nebraska - Private, nonprofit",2013-14,0.7,31163,21761,2544,0.76,7125,26452,0.64
"Nebraska - Private, nonprofit",2012-13,0.7,33135,23328,2457,0.79,7197,26218,0.61
"Nebraska - Private, nonprofit",2011-12,0.7,31786,22337,2197,0.7,6896,24966,0.6
"Nebraska - Private, nonprofit",2010-11,0.73,29146,21252,2366,0.74,6491,23906,0.61
"Nebraska - Private, nonprofit",2009-10,0.75,27286,20590,2146,0.72,7642,23105,0.62
"Nebraska - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,18830,N/A
"Nebraska - Private, for-profit",2015-16,N/A,N/A,N/A,352,0.83,7342,18040,0.67
"Nebraska - Private, for-profit",2014-15,N/A,N/A,N/A,423,0.84,8352,17383,0.47
"Nebraska - Private, for-profit",2013-14,N/A,N/A,N/A,486,0.79,8878,16030,0.51
"Nebraska - Private, for-profit",2012-13,N/A,N/A,N/A,480,0.78,8319,16858,0.54
"Nebraska - Private, for-profit",2011-12,N/A,N/A,N/A,605,0.8,7923,16081,0.53
"Nebraska - Private, for-profit",2010-11,N/A,N/A,N/A,680,0.75,8903,15096,0.53
"Nebraska - Private, for-profit",2009-10,N/A,N/A,N/A,1785,0.74,10043,14998,0.59
"New Hampshire - Total",2016-17,0.74,34415,25467,N/A,N/A,N/A,23668,N/A
"New Hampshire - Total",2015-16,0.74,36367,26912,9414,0.67,8314,23010,0.61
"New Hampshire - Total",2014-15,0.76,36101,27435,9710,0.72,8118,21912,0.55
"New Hampshire - Total",2013-14,0.76,33410,25388,9510,0.74,8173,21128,0.57
"New Hampshire - Total",2012-13,0.76,32795,24847,9567,0.73,7961,20408,0.57
"New Hampshire - Total",2011-12,0.74,32698,24220,9499,0.73,7659,19221,0.59
"New Hampshire - Total",2010-11,0.75,32440,24391,10089,0.71,7600,17522,0.58
"New Hampshire - Total",2009-10,0.74,31048,22925,10167,0.71,7110,16659,0.56
"New Hampshire - Public",2016-17,0.79,35657,28169,N/A,N/A,N/A,13476,N/A
"New Hampshire - Public",2015-16,0.8,39108,31287,5236,0.71,8769,13306,0.56
"New Hampshire - Public",2014-15,0.8,36503,29356,5400,0.74,8241,12845,0.56
"New Hampshire - Public",2013-14,0.81,35044,28541,5275,0.74,8209,12667,0.55
"New Hampshire - Public",2012-13,0.79,34170,26944,5404,0.74,7932,12684,0.54
"New Hampshire - Public",2011-12,0.8,33578,26699,5568,0.75,7417,11879,0.56
"New Hampshire - Public",2010-11,0.79,32385,25558,5589,0.73,6864,10362,0.56
"New Hampshire - Public",2009-10,0.77,31111,24110,5222,0.69,6956,9762,0.54
"New Hampshire - Private, nonprofit",2016-17,0.66,32057,21158,N/A,N/A,N/A,36923,N/A
"New Hampshire - Private, nonprofit",2015-16,0.64,30797,19710,3650,0.62,7877,35392,0.68
"New Hampshire - Private, nonprofit",2014-15,0.72,35704,25736,3624,0.71,8144,35375,0.66
"New Hampshire - Private, nonprofit",2013-14,0.63,28293,17774,3329,0.73,8387,35021,0.65
"New Hampshire - Private, nonprofit",2012-13,0.68,28779,19568,3102,0.73,8412,34198,0.68
"New Hampshire - Private, nonprofit",2011-12,0.61,29926,18240,2798,0.69,8615,32766,0.69
"New Hampshire - Private, nonprofit",2010-11,0.68,32570,21986,2920,0.7,9571,31281,0.66
"New Hampshire - Private, nonprofit",2009-10,0.65,30863,20036,2582,0.71,7485,30646,0.67
"New Hampshire - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"New Hampshire - Private, for-profit",2015-16,N/A,N/A,N/A,528,0.66,6829,15630,0.71
"New Hampshire - Private, for-profit",2014-15,N/A,N/A,N/A,686,0.66,7009,13845,0.28
"New Hampshire - Private, for-profit",2013-14,N/A,N/A,N/A,906,0.72,7175,12395,0.47
"New Hampshire - Private, for-profit",2012-13,N/A,N/A,N/A,1061,0.66,6795,13156,0.48
"New Hampshire - Private, for-profit",2011-12,N/A,N/A,N/A,1133,0.72,6484,13114,0.52
"New Hampshire - Private, for-profit",2010-11,N/A,N/A,N/A,1580,0.65,6564,14918,0.52
"New Hampshire - Private, for-profit",2009-10,N/A,N/A,N/A,2363,0.75,7041,17520,0.41
"New Mexico - Total",2016-17,0.54,21237,11468,N/A,N/A,N/A,4825,N/A
"New Mexico - Total",2015-16,0.55,21373,11755,6082,0.36,6069,4891,0.35
"New Mexico - Total",2014-15,0.58,20193,11655,7067,0.41,6280,4835,0.33
"New Mexico - Total",2013-14,0.48,18969,9108,7122,0.37,6439,4573,0.32
"New Mexico - Total",2012-13,0.54,18656,10090,8069,0.4,6267,4330,0.32
"New Mexico - Total",2011-12,0.61,17994,10971,9776,0.47,6324,4140,0.33
"New Mexico - Total",2010-11,N/A,N/A,N/A,9351,0.43,6573,3991,0.34
"New Mexico - Total",2009-10,0.56,16413,9211,9368,0.4,6869,3704,0.35
"New Mexico - Public",2016-17,0.53,20830,11040,N/A,N/A,N/A,4117,N/A
"New Mexico - Public",2015-16,0.55,21155,11635,3278,0.25,4674,4034,0.3
"New Mexico - Public",2014-15,0.57,20004,11459,4022,0.3,5099,3911,0.28
"New Mexico - Public",2013-14,0.48,18794,8929,3923,0.26,4995,3751,0.28
"New Mexico - Public",2012-13,0.54,18473,9909,4565,0.29,4873,3530,0.26
"New Mexico - Public",2011-12,0.61,17722,10776,5448,0.35,5045,3332,0.26
"New Mexico - Public",2010-11,N/A,N/A,N/A,4349,0.28,5069,3249,0.27
"New Mexico - Public",2009-10,0.56,16298,9087,4249,0.26,4967,3018,0.28
"New Mexico - Private, nonprofit",2016-17,0.77,26990,20782,N/A,N/A,N/A,30016,N/A
"New Mexico - Private, nonprofit",2015-16,0.71,27790,19731,106,0.65,4245,30848,0.37
"New Mexico - Private, nonprofit",2014-15,0.76,26195,19908,88,0.62,4354,34808,0.33
"New Mexico - Private, nonprofit",2013-14,0.8,25570,20456,110,0.84,5118,34559,0.35
"New Mexico - Private, nonprofit",2012-13,0.77,25256,19447,101,0.69,6396,34424,0.42
"New Mexico - Private, nonprofit",2011-12,0.68,28563,19423,134,0.79,6224,31106,0.48
"New Mexico - Private, nonprofit",2010-11,0.7,25084,17488,142,0.82,5669,33548,0.39
"New Mexico - Private, nonprofit",2009-10,N/A,N/A,N/A,127,0.71,5738,33409,0.6
"New Mexico - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,31843,N/A
"New Mexico - Private, for-profit",2015-16,N/A,N/A,N/A,2698,0.77,7836,25882,0.57
"New Mexico - Private, for-profit",2014-15,N/A,N/A,N/A,2957,0.77,7943,22159,0.53
"New Mexico - Private, for-profit",2013-14,N/A,N/A,N/A,3089,0.75,8320,20774,0.51
"New Mexico - Private, for-profit",2012-13,N/A,N/A,N/A,3403,0.79,8133,17929,0.54
"New Mexico - Private, for-profit",2011-12,N/A,N/A,N/A,4194,0.79,7988,17417,0.54
"New Mexico - Private, for-profit",2010-11,N/A,N/A,N/A,4860,0.8,7945,15531,0.54
"New Mexico - Private, for-profit",2009-10,N/A,N/A,N/A,4992,0.68,8516,11938,0.58

"Citation: The Institute for College Access & Success, College InSight, http://www.college-insight.org.",,
"Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).",,
"  Derived variables and aggregate figures for states, sectors, and other groupings of colleges were calculated as described under ""About the Data.""",,
"  Student debt and undergraduate financial aid data are licensed from Peterson's Undergraduate Financial Aid",,
"  and Undergraduate Databases, (c) 2018 Peterson's LLC, all rights reserved.",,
"  All data may be reproduced, with attribution, subject to the restrictions of our Creative Commons license (https://creativecommons.org/licenses/by-nc-nd/3.0/). ",,
