"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"Ohio - Private, for-profit",2012-13,N/A,N/A,N/A,9539,0.77,7756,14596,0.57
"Ohio - Private, for-profit",2011-12,N/A,N/A,N/A,10254,0.78,7622,13800,0.58
"Ohio - Private, for-profit",2010-11,N/A,N/A,N/A,14943,0.81,7937,13435,0.57
"Ohio - Private, for-profit",2009-10,N/A,N/A,N/A,16860,0.76,7957,13952,0.58
"Oklahoma - Total",2016-17,0.49,25952,12716,N/A,N/A,N/A,9054,N/A
"Oklahoma - Total",2015-16,0.5,25856,12928,15455,0.4,6607,8571,0.43
"Oklahoma - Total",2014-15,0.52,24849,12913,15407,0.41,6392,8174,0.42
"Oklahoma - Total",2013-14,0.55,23430,12924,15682,0.41,6355,8121,0.42
"Oklahoma - Total",2012-13,0.53,22570,11856,17098,0.44,6324,7652,0.43
"Oklahoma - Total",2011-12,0.53,23636,12439,19426,0.47,6028,6953,0.43
"Oklahoma - Total",2010-11,0.52,21190,11113,19697,0.45,6119,6696,0.45
"Oklahoma - Total",2009-10,0.56,20708,11518,21184,0.47,6358,6313,0.44
"Oklahoma - Public",2016-17,0.48,25370,12178,N/A,N/A,N/A,6360,N/A
"Oklahoma - Public",2015-16,0.5,25360,12680,9573,0.32,5850,5911,0.4
"Oklahoma - Public",2014-15,0.51,23739,11992,9431,0.34,5502,5626,0.39
"Oklahoma - Public",2013-14,0.54,22329,12051,9301,0.33,5491,5362,0.39
"Oklahoma - Public",2012-13,0.52,21233,10970,10499,0.36,5426,5258,0.39
"Oklahoma - Public",2011-12,0.52,22374,11595,12111,0.39,5376,4870,0.38
"Oklahoma - Public",2010-11,0.53,20815,10937,10878,0.35,5307,4535,0.41
"Oklahoma - Public",2009-10,0.54,19874,10792,10842,0.34,5056,4202,0.38
"Oklahoma - Private, nonprofit",2016-17,0.57,30014,17108,N/A,N/A,N/A,26045,N/A
"Oklahoma - Private, nonprofit",2015-16,0.57,30137,17178,3310,0.63,7819,25736,0.53
"Oklahoma - Private, nonprofit",2014-15,0.6,30136,18136,2046,0.58,7706,24520,0.52
"Oklahoma - Private, nonprofit",2013-14,0.62,28784,17785,2238,0.56,7611,23635,0.5
"Oklahoma - Private, nonprofit",2012-13,0.57,28660,16301,2024,0.57,7736,22984,0.51
"Oklahoma - Private, nonprofit",2011-12,0.56,28569,16004,1960,0.6,6747,21597,0.48
"Oklahoma - Private, nonprofit",2010-11,0.52,24511,12647,2189,0.63,6877,20521,0.51
"Oklahoma - Private, nonprofit",2009-10,0.67,26589,17845,1976,0.6,6741,19667,0.49
"Oklahoma - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,16048,N/A
"Oklahoma - Private, for-profit",2015-16,N/A,N/A,N/A,2572,0.73,7863,16655,0.56
"Oklahoma - Private, for-profit",2014-15,N/A,N/A,N/A,3930,0.7,7844,16100,0.51
"Oklahoma - Private, for-profit",2013-14,N/A,N/A,N/A,4143,0.7,7616,15226,0.55
"Oklahoma - Private, for-profit",2012-13,N/A,N/A,N/A,4575,0.76,7762,14771,0.58
"Oklahoma - Private, for-profit",2011-12,N/A,N/A,N/A,5355,0.72,7239,14169,0.6
"Oklahoma - Private, for-profit",2010-11,N/A,N/A,N/A,6630,0.76,7200,14263,0.58
"Oklahoma - Private, for-profit",2009-10,N/A,N/A,N/A,8366,0.81,7956,12968,0.61
"Oregon - Total",2016-17,0.56,27885,15615,N/A,N/A,N/A,13902,N/A
"Oregon - Total",2015-16,0.58,27321,15846,13096,0.5,6628,14191,0.49
"Oregon - Total",2014-15,0.63,27697,17380,13596,0.53,6646,13773,0.48
"Oregon - Total",2013-14,0.62,26106,16147,14750,0.55,6698,12441,0.48
"Oregon - Total",2012-13,0.6,25585,15394,16256,0.58,6647,11825,0.47
"Oregon - Total",2011-12,0.6,26639,16031,17029,0.6,6512,11398,0.45
"Oregon - Total",2010-11,0.63,25497,16036,18922,0.61,6600,10389,0.45
"Oregon - Total",2009-10,0.63,23967,15027,19139,0.57,6550,9637,0.47
"Oregon - Public",2016-17,0.54,26676,14405,N/A,N/A,N/A,7600,N/A
"Oregon - Public",2015-16,0.56,26735,14972,8148,0.44,6272,7489,0.42
"Oregon - Public",2014-15,0.61,27782,17009,8261,0.46,6217,7184,0.41
"Oregon - Public",2013-14,0.59,25862,15362,9166,0.48,6286,6784,0.4
"Oregon - Public",2012-13,0.56,24248,13498,10229,0.52,6232,6480,0.37
"Oregon - Public",2011-12,0.56,25880,14553,10797,0.54,6194,6122,0.35
"Oregon - Public",2010-11,0.6,24616,14869,10878,0.52,6053,5593,0.35
"Oregon - Public",2009-10,0.6,23675,14250,10249,0.47,5796,5150,0.37
"Oregon - Private, nonprofit",2016-17,0.64,30647,19614,N/A,N/A,N/A,40417,N/A
"Oregon - Private, nonprofit",2015-16,0.65,28566,18568,3216,0.61,7255,39193,0.69
"Oregon - Private, nonprofit",2014-15,0.69,27409,18785,3244,0.64,7271,37665,0.7
"Oregon - Private, nonprofit",2013-14,0.72,26917,19292,3097,0.65,7304,36180,0.71
"Oregon - Private, nonprofit",2012-13,0.71,28025,19785,3314,0.7,7161,35029,0.68
"Oregon - Private, nonprofit",2011-12,0.71,28227,19910,3141,0.65,6561,33580,0.68
"Oregon - Private, nonprofit",2010-11,0.69,27334,18808,3465,0.73,6194,31400,0.68
"Oregon - Private, nonprofit",2009-10,0.69,24579,16879,2589,0.61,6397,30321,0.7
"Oregon - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,16048,N/A
"Oregon - Private, for-profit",2015-16,N/A,N/A,N/A,1732,0.76,7142,16028,0.64
"Oregon - Private, for-profit",2014-15,N/A,N/A,N/A,2091,0.77,7374,15683,0.61
"Oregon - Private, for-profit",2013-14,N/A,N/A,N/A,2487,0.79,7463,15045,0.58
"Oregon - Private, for-profit",2012-13,N/A,N/A,N/A,2713,0.78,7583,14130,0.68
"Oregon - Private, for-profit",2011-12,N/A,N/A,N/A,3091,0.79,7574,14223,0.61
"Oregon - Private, for-profit",2010-11,N/A,N/A,N/A,4579,0.82,8207,14209,0.59
"Oregon - Private, for-profit",2009-10,N/A,N/A,N/A,6301,0.79,7838,16625,0.61
"Pennsylvania - Total",2016-17,0.67,36854,24692,N/A,N/A,N/A,22956,N/A
"Pennsylvania - Total",2015-16,0.68,35888,24404,81239,0.65,8163,22146,0.6
"Pennsylvania - Total",2014-15,0.71,34804,24574,85871,0.66,8059,21203,0.59
"Pennsylvania - Total",2013-14,0.7,33263,23346,86055,0.66,8175,20353,0.58
"Pennsylvania - Total",2012-13,0.71,32529,23183,90211,0.67,8044,19542,0.58
"Pennsylvania - Total",2011-12,0.71,31677,22433,95292,0.68,7684,18604,0.57
"Pennsylvania - Total",2010-11,0.7,30025,21106,98361,0.67,7407,17442,0.58
"Pennsylvania - Total",2009-10,0.7,28599,19955,104558,0.66,7610,16533,0.59
"Pennsylvania - Public",2016-17,0.71,36704,26060,N/A,N/A,N/A,11873,N/A
"Pennsylvania - Public",2015-16,0.72,36426,26227,38873,0.62,7864,11277,0.53
"Pennsylvania - Public",2014-15,0.73,35038,25523,40483,0.62,7742,10996,0.52
"Pennsylvania - Public",2013-14,0.72,33545,24207,39690,0.61,7662,10608,0.51
"Pennsylvania - Public",2012-13,0.74,32659,24070,40366,0.62,7533,10107,0.49
"Pennsylvania - Public",2011-12,0.73,32458,23705,41864,0.62,7103,9712,0.48
"Pennsylvania - Public",2010-11,0.71,29207,20868,42590,0.6,6674,8928,0.49
"Pennsylvania - Public",2009-10,0.71,27838,19798,43411,0.6,6606,8289,0.48
"Pennsylvania - Private, nonprofit",2016-17,0.63,37060,23348,N/A,N/A,N/A,39182,N/A
"Pennsylvania - Private, nonprofit",2015-16,0.63,35102,22114,29092,0.65,8793,38002,0.71
"Pennsylvania - Private, nonprofit",2014-15,0.67,34423,23141,29498,0.66,8781,36459,0.71
"Pennsylvania - Private, nonprofit",2013-14,0.67,32833,22118,29325,0.65,8942,34562,0.7
"Pennsylvania - Private, nonprofit",2012-13,0.68,32340,21992,30619,0.66,8704,33135,0.7
"Pennsylvania - Private, nonprofit",2011-12,0.68,30522,20685,31398,0.68,8102,31964,0.7
"Pennsylvania - Private, nonprofit",2010-11,0.69,31166,21424,31492,0.68,7915,30529,0.71
"Pennsylvania - Private, nonprofit",2009-10,0.68,29617,20157,31002,0.68,8404,29525,0.72
"Pennsylvania - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,15907,N/A
"Pennsylvania - Private, for-profit",2015-16,N/A,N/A,N/A,13274,0.79,7659,16113,0.57
"Pennsylvania - Private, for-profit",2014-15,N/A,N/A,N/A,15890,0.79,7528,16224,0.58
"Pennsylvania - Private, for-profit",2013-14,N/A,N/A,N/A,17040,0.79,8046,15846,0.55
"Pennsylvania - Private, for-profit",2012-13,N/A,N/A,N/A,19226,0.8,8064,15797,0.6
"Pennsylvania - Private, for-profit",2011-12,N/A,N/A,N/A,22030,0.85,8193,14932,0.6
"Pennsylvania - Private, for-profit",2010-11,N/A,N/A,N/A,24279,0.83,8035,14841,0.61
"Pennsylvania - Private, for-profit",2009-10,N/A,N/A,N/A,30145,0.76,8239,16226,0.61
"Rhode Island - Total",2016-17,0.64,36250,23200,N/A,N/A,N/A,27537,N/A
"Rhode Island - Total",2015-16,0.61,31217,19043,9541,0.63,8240,26324,0.64
"Rhode Island - Total",2014-15,0.64,32920,21156,9788,0.64,8769,25204,0.62
"Rhode Island - Total",2013-14,0.65,31841,20556,9519,0.64,8044,24466,0.6
"Rhode Island - Total",2012-13,0.69,31561,21772,9466,0.63,7781,23313,0.61
"Rhode Island - Total",2011-12,0.69,30483,21001,9952,0.64,7345,22422,0.6
"Rhode Island - Total",2010-11,0.69,29097,20195,10561,0.62,7318,21613,0.58
"Rhode Island - Total",2009-10,0.67,26340,17587,10675,0.58,7113,19510,0.6
"Rhode Island - Public",2016-17,0.75,31442,23581,N/A,N/A,N/A,10060,N/A
"Rhode Island - Public",2015-16,0.75,31187,23390,3448,0.61,6155,9586,0.47
"Rhode Island - Public",2014-15,0.72,30592,22115,3671,0.63,5975,9206,0.45
"Rhode Island - Public",2013-14,0.71,29076,20644,3418,0.6,5968,9052,0.41
"Rhode Island - Public",2012-13,0.78,28875,22403,3713,0.62,5947,8816,0.43
"Rhode Island - Public",2011-12,0.78,27919,21684,3544,0.6,5356,8072,0.41
"Rhode Island - Public",2010-11,0.74,24500,18115,2887,0.49,6201,7429,0.39
"Rhode Island - Public",2009-10,0.73,21502,15696,3014,0.48,6200,6812,0.39
"Rhode Island - Private, nonprofit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,39382,N/A
"Rhode Island - Private, nonprofit",2015-16,N/A,N/A,N/A,4819,0.61,10140,38245,0.74
"Rhode Island - Private, nonprofit",2014-15,0.58,35341,20360,4966,0.61,11338,36832,0.73
"Rhode Island - Private, nonprofit",2013-14,0.59,34451,20487,5120,0.64,9549,35645,0.72
"Rhode Island - Private, nonprofit",2012-13,0.62,34271,21262,4751,0.61,9314,34638,0.72
"Rhode Island - Private, nonprofit",2011-12,0.62,33212,20426,5259,0.64,8814,32847,0.71
"Rhode Island - Private, nonprofit",2010-11,0.66,33463,21948,5283,0.65,8371,31874,0.7
"Rhode Island - Private, nonprofit",2009-10,0.61,32165,19474,5162,0.64,7780,29460,0.71
"Rhode Island - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rhode Island - Private, for-profit",2015-16,N/A,N/A,N/A,1274,0.87,6695,16786,0.71
"Rhode Island - Private, for-profit",2014-15,N/A,N/A,N/A,1151,0.87,6599,N/A,0.78
"Rhode Island - Private, for-profit",2013-14,N/A,N/A,N/A,981,0.82,7419,N/A,0.72
"Rhode Island - Private, for-profit",2012-13,N/A,N/A,N/A,1002,0.8,7306,N/A,0.67
"Rhode Island - Private, for-profit",2011-12,N/A,N/A,N/A,1149,0.84,6762,N/A,0.71
"Rhode Island - Private, for-profit",2010-11,N/A,N/A,N/A,2391,0.79,6342,N/A,0.62
"Rhode Island - Private, for-profit",2009-10,N/A,N/A,N/A,2499,0.61,6835,N/A,0.67
"South Carolina - Total",2016-17,0.58,30891,17917,N/A,N/A,N/A,12321,N/A
"South Carolina - Total",2015-16,0.6,30123,18074,20983,0.52,6925,11895,0.43
"South Carolina - Total",2014-15,0.6,30564,18263,22044,0.53,6894,11425,0.42
"South Carolina - Total",2013-14,0.59,29163,17203,21537,0.52,6995,11021,0.41
"South Carolina - Total",2012-13,0.59,28546,16858,22356,0.52,7198,10473,0.41
"South Carolina - Total",2011-12,0.55,27416,15124,23447,0.55,6841,10207,0.41
"South Carolina - Total",2010-11,0.54,25658,13888,22919,0.53,6656,9855,0.41
"South Carolina - Total",2009-10,0.55,23623,13087,21710,0.5,6401,9396,0.41
"South Carolina - Public",2016-17,0.57,30958,17646,N/A,N/A,N/A,9125,N/A
"South Carolina - Public",2015-16,0.6,30328,18197,14170,0.46,6773,8779,0.41
"South Carolina - Public",2014-15,0.59,30730,18176,14365,0.46,6759,8371,0.39
"South Carolina - Public",2013-14,0.58,29106,16891,14222,0.45,6699,7978,0.38
"South Carolina - Public",2012-13,0.57,28725,16461,14980,0.47,7021,7667,0.38
"South Carolina - Public",2011-12,0.53,27100,14376,15592,0.49,6610,7315,0.36
"South Carolina - Public",2010-11,0.53,25358,13374,14269,0.45,6295,7143,0.38
"South Carolina - Public",2009-10,0.54,22851,12305,13480,0.42,5964,6596,0.37
"South Carolina - Private, nonprofit",2016-17,0.63,30585,19269,N/A,N/A,N/A,25668,N/A
"South Carolina - Private, nonprofit",2015-16,0.6,29353,17612,5279,0.72,7160,24628,0.48
"South Carolina - Private, nonprofit",2014-15,0.63,29736,18731,5587,0.74,7219,23878,0.49
"South Carolina - Private, nonprofit",2013-14,0.66,29532,19525,5317,0.73,7414,23685,0.49
"South Carolina - Private, nonprofit",2012-13,0.67,27829,18724,5112,0.71,7210,22514,0.49
"South Carolina - Private, nonprofit",2011-12,0.66,28734,19004,5623,0.71,6900,21743,0.52
"South Carolina - Private, nonprofit",2010-11,0.62,27087,16769,5165,0.71,7145,20161,0.49
"South Carolina - Private, nonprofit",2009-10,0.62,26527,16478,5483,0.68,6681,18740,0.51
"South Carolina - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,14407,N/A
"South Carolina - Private, for-profit",2015-16,N/A,N/A,N/A,1534,0.65,7513,14729,0.51
"South Carolina - Private, for-profit",2014-15,N/A,N/A,N/A,2092,0.81,6955,14488,0.47
"South Carolina - Private, for-profit",2013-14,N/A,N/A,N/A,1998,0.7,7993,14142,0.58
"South Carolina - Private, for-profit",2012-13,N/A,N/A,N/A,2264,0.67,8347,13845,0.58
"South Carolina - Private, for-profit",2011-12,N/A,N/A,N/A,2232,0.73,8305,13795,0.6
"South Carolina - Private, for-profit",2010-11,N/A,N/A,N/A,3485,0.75,7411,14530,0.59
"South Carolina - Private, for-profit",2009-10,N/A,N/A,N/A,2747,0.82,7987,18086,0.68
"South Dakota - Total",2016-17,0.74,31275,23144,N/A,N/A,N/A,10562,N/A
"South Dakota - Total",2015-16,0.75,31362,23522,5383,0.68,7289,10138,0.51
"South Dakota - Total",2014-15,0.73,29364,21549,5586,0.71,7247,9596,0.52
"South Dakota - Total",2013-14,0.69,26023,18019,5834,0.69,7138,9178,0.52
"South Dakota - Total",2012-13,0.72,25750,18484,5908,0.7,7062,9129,0.5
"South Dakota - Total",2011-12,0.78,25121,19485,6220,0.74,6653,8531,0.5
"South Dakota - Total",2010-11,0.76,24232,18299,6482,0.73,6359,7803,0.49
"South Dakota - Total",2009-10,0.75,23171,17363,6233,0.72,6516,7684,0.5
"South Dakota - Public",2016-17,0.74,29801,22053,N/A,N/A,N/A,7829,N/A
"South Dakota - Public",2015-16,N/A,N/A,N/A,4513,0.67,7147,7643,0.51
"South Dakota - Public",2014-15,0.75,27979,20898,4680,0.7,7094,7224,0.52
"South Dakota - Public",2013-14,0.67,24414,16454,4949,0.69,6990,7058,0.52
"South Dakota - Public",2012-13,0.7,24181,16941,4899,0.69,6824,6849,0.5
"South Dakota - Public",2011-12,0.77,23642,18177,5158,0.73,6377,6473,0.49
"South Dakota - Public",2010-11,0.75,22887,17088,5339,0.73,6051,5927,0.48
"South Dakota - Public",2009-10,0.73,21005,15439,4975,0.71,6190,5677,0.48
"South Dakota - Private, nonprofit",2016-17,0.73,35224,25714,N/A,N/A,N/A,26658,N/A
"South Dakota - Private, nonprofit",2015-16,0.75,35365,26524,778,0.74,8215,25813,0.53
"South Dakota - Private, nonprofit",2014-15,0.67,37535,24969,753,0.71,8406,24682,0.56
"South Dakota - Private, nonprofit",2013-14,0.81,34472,27883,735,0.68,8283,22627,0.53
"South Dakota - Private, nonprofit",2012-13,0.82,33900,27899,848,0.71,8469,23474,0.52
"South Dakota - Private, nonprofit",2011-12,0.82,33425,27281,783,0.72,8347,20998,0.5
"South Dakota - Private, nonprofit",2010-11,0.81,31813,25671,793,0.71,8014,18431,0.51
"South Dakota - Private, nonprofit",2009-10,0.82,32647,26746,873,0.75,7956,19083,0.55
"South Dakota - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,9965,N/A
"South Dakota - Private, for-profit",2015-16,N/A,N/A,N/A,92,0.51,6450,13763,0.49
"South Dakota - Private, for-profit",2014-15,N/A,N/A,N/A,153,0.75,6203,12619,0.42
"South Dakota - Private, for-profit",2013-14,N/A,N/A,N/A,150,0.75,6416,13167,0.49
"South Dakota - Private, for-profit",2012-13,N/A,N/A,N/A,161,0.73,6898,12252,0.47
"South Dakota - Private, for-profit",2011-12,N/A,N/A,N/A,279,0.81,7003,12299,0.55
"South Dakota - Private, for-profit",2010-11,N/A,N/A,N/A,350,0.8,7315,11911,0.56
"South Dakota - Private, for-profit",2009-10,N/A,N/A,N/A,385,0.83,7466,11360,0.55

"Citation: The Institute for College Access & Success, College InSight, http://www.college-insight.org.",,
"Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).",,
"  Derived variables and aggregate figures for states, sectors, and other groupings of colleges were calculated as described under ""About the Data.""",,
"  Student debt and undergraduate financial aid data are licensed from Peterson's Undergraduate Financial Aid",,
"  and Undergraduate Databases, (c) 2018 Peterson's LLC, all rights reserved.",,
"  All data may be reproduced, with attribution, subject to the restrictions of our Creative Commons license (https://creativecommons.org/licenses/by-nc-nd/3.0/). ",,
