"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"Tennessee - Private, nonprofit",2012-13,0.55,26266,14334,7277,0.58,6556,24413,0.59
"Tennessee - Private, nonprofit",2011-12,0.58,23328,13582,7580,0.58,6066,22857,0.61
"Tennessee - Private, nonprofit",2010-11,0.59,21576,12762,6861,0.57,6349,22129,0.59
"Tennessee - Private, nonprofit",2009-10,0.61,22017,13403,6557,0.55,6770,21245,0.59
"Tennessee - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,14601,N/A
"Tennessee - Private, for-profit",2015-16,N/A,N/A,N/A,4765,0.79,7612,15483,0.5
"Tennessee - Private, for-profit",2014-15,N/A,N/A,N/A,5369,0.81,7954,14932,0.49
"Tennessee - Private, for-profit",2013-14,N/A,N/A,N/A,5664,0.82,8166,14264,0.52
"Tennessee - Private, for-profit",2012-13,N/A,N/A,N/A,7473,0.84,8058,13484,0.58
"Tennessee - Private, for-profit",2011-12,N/A,N/A,N/A,7369,0.81,7644,13754,0.58
"Tennessee - Private, for-profit",2010-11,N/A,N/A,N/A,9883,0.78,7616,14365,0.56
"Tennessee - Private, for-profit",2009-10,N/A,N/A,N/A,14001,0.81,7374,13594,0.56
"Texas - Total",2016-17,0.55,26824,14753,N/A,N/A,N/A,9695,N/A
"Texas - Total",2015-16,0.56,26292,14724,93301,0.45,6611,9328,0.42
"Texas - Total",2014-15,0.56,27207,15362,97828,0.46,6794,8973,0.42
"Texas - Total",2013-14,0.59,26250,15594,98613,0.47,6867,8436,0.41
"Texas - Total",2012-13,0.59,25244,14830,97873,0.47,6675,8237,0.42
"Texas - Total",2011-12,0.56,23933,13381,107218,0.49,6633,7760,0.44
"Texas - Total",2010-11,0.57,22523,12726,112095,0.5,6806,7612,0.44
"Texas - Total",2009-10,0.56,20919,11727,121612,0.51,6781,7263,0.43
"Texas - Public",2016-17,0.55,24587,13523,N/A,N/A,N/A,6016,N/A
"Texas - Public",2015-16,0.56,24222,13564,47580,0.34,5645,5676,0.34
"Texas - Public",2014-15,0.56,25796,14436,50286,0.35,5718,5406,0.33
"Texas - Public",2013-14,0.59,24804,14521,50334,0.36,5815,4995,0.32
"Texas - Public",2012-13,0.58,23860,13811,51372,0.37,5568,4909,0.32
"Texas - Public",2011-12,0.56,22449,12498,52687,0.38,5382,4641,0.31
"Texas - Public",2010-11,0.56,21089,11795,46525,0.34,5773,4381,0.32
"Texas - Public",2009-10,0.55,19376,10713,44438,0.34,5560,4117,0.31
"Texas - Private, nonprofit",2016-17,0.53,35436,18781,N/A,N/A,N/A,33201,N/A
"Texas - Private, nonprofit",2015-16,0.53,34930,18513,12736,0.55,8495,32082,0.61
"Texas - Private, nonprofit",2014-15,0.59,34422,20370,12480,0.57,8959,30614,0.61
"Texas - Private, nonprofit",2013-14,0.64,32909,20975,12751,0.57,8647,29020,0.61
"Texas - Private, nonprofit",2012-13,0.63,31799,20096,12602,0.58,8352,27417,0.6
"Texas - Private, nonprofit",2011-12,0.57,32024,18324,12957,0.6,7783,25928,0.63
"Texas - Private, nonprofit",2010-11,0.59,29043,17210,12679,0.6,7374,24949,0.61
"Texas - Private, nonprofit",2009-10,0.6,28346,17027,11995,0.6,7902,23585,0.6
"Texas - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,15648,N/A
"Texas - Private, for-profit",2015-16,N/A,N/A,N/A,32985,0.72,7277,16174,0.61
"Texas - Private, for-profit",2014-15,N/A,N/A,N/A,35062,0.75,7567,16329,0.61
"Texas - Private, for-profit",2013-14,N/A,N/A,N/A,35528,0.74,7718,15726,0.58
"Texas - Private, for-profit",2012-13,N/A,N/A,N/A,33899,0.69,7729,16326,0.6
"Texas - Private, for-profit",2011-12,N/A,N/A,N/A,41574,0.72,7859,15620,0.62
"Texas - Private, for-profit",2010-11,N/A,N/A,N/A,52891,0.78,7579,16297,0.62
"Texas - Private, for-profit",2009-10,N/A,N/A,N/A,65179,0.73,7407,17490,0.59
"Vermont - Total",2016-17,0.6,30651,18390,N/A,N/A,N/A,27062,N/A
"Vermont - Total",2015-16,0.63,28662,18057,4115,0.61,8787,25788,0.63
"Vermont - Total",2014-15,0.62,28283,17527,4323,0.62,8010,25056,0.63
"Vermont - Total",2013-14,0.65,29060,18985,4329,0.59,8611,23535,0.62
"Vermont - Total",2012-13,0.64,27318,17400,4738,0.64,7697,23076,0.61
"Vermont - Total",2011-12,0.63,28299,17742,4951,0.66,7526,21888,0.62
"Vermont - Total",2010-11,0.63,28273,17836,5063,0.66,6991,20903,0.62
"Vermont - Total",2009-10,0.66,28391,18634,4845,0.63,6431,18111,0.63
"Vermont - Public",2016-17,0.57,29012,16537,N/A,N/A,N/A,15184,N/A
"Vermont - Public",2015-16,0.63,27265,17177,2184,0.59,8514,14664,0.6
"Vermont - Public",2014-15,0.62,26890,16621,2143,0.59,8069,14017,0.62
"Vermont - Public",2013-14,0.64,26987,17284,2279,0.57,8232,13519,0.61
"Vermont - Public",2012-13,0.65,27886,18258,2300,0.59,7158,12971,0.6
"Vermont - Public",2011-12,0.6,27272,16321,2537,0.63,6898,12511,0.58
"Vermont - Public",2010-11,0.6,27317,16352,2590,0.62,6214,11828,0.59
"Vermont - Public",2009-10,0.64,27538,17492,2688,0.62,6128,11505,0.6
"Vermont - Private, nonprofit",2016-17,0.62,32518,20161,N/A,N/A,N/A,41398,N/A
"Vermont - Private, nonprofit",2015-16,0.62,30462,18886,1816,0.64,9102,40160,0.67
"Vermont - Private, nonprofit",2014-15,0.62,30013,18660,2013,0.64,7801,37690,0.65
"Vermont - Private, nonprofit",2013-14,0.67,31023,20660,1822,0.62,8422,37146,0.65
"Vermont - Private, nonprofit",2012-13,0.6,25875,15419,2104,0.67,7833,35520,0.64
"Vermont - Private, nonprofit",2011-12,0.66,29470,19538,2082,0.69,7493,34369,0.68
"Vermont - Private, nonprofit",2010-11,0.67,29282,19587,2197,0.68,7495,32557,0.67
"Vermont - Private, nonprofit",2009-10,0.68,29323,19972,1920,0.62,6667,29646,0.67
"Vermont - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Vermont - Private, for-profit",2015-16,N/A,N/A,N/A,115,0.59,8990,N/A,0.58
"Vermont - Private, for-profit",2014-15,N/A,N/A,N/A,167,0.75,9770,N/A,0.53
"Vermont - Private, for-profit",2013-14,N/A,N/A,N/A,228,0.55,13914,N/A,0.53
"Vermont - Private, for-profit",2012-13,N/A,N/A,N/A,334,0.77,10553,N/A,0.56
"Vermont - Private, for-profit",2011-12,N/A,N/A,N/A,332,0.76,12526,N/A,0.63
"Vermont - Private, for-profit",2010-11,N/A,N/A,N/A,276,0.82,10266,N/A,0.57
"Vermont - Private, for-profit",2009-10,N/A,N/A,N/A,237,0.75,7968,N/A,0.69
"Washington - Total",2016-17,0.52,23936,12447,N/A,N/A,N/A,12596,N/A
"Washington - Total",2015-16,0.53,24609,13043,17600,0.39,6668,12802,0.58
"Washington - Total",2014-15,0.57,24600,13990,18035,0.42,6609,12889,0.57
"Washington - Total",2013-14,0.58,24804,14294,18505,0.43,6776,12893,0.58
"Washington - Total",2012-13,0.58,24418,14152,18905,0.44,6631,12631,0.57
"Washington - Total",2011-12,0.56,23293,13099,19746,0.46,6614,11569,0.56
"Washington - Total",2010-11,0.56,22220,12538,19868,0.45,6684,10595,0.55
"Washington - Total",2009-10,0.59,22101,12941,22803,0.47,6940,9525,0.55
"Washington - Public",2016-17,0.49,21559,10564,N/A,N/A,N/A,7175,N/A
"Washington - Public",2015-16,0.49,22659,11103,10193,0.31,6011,7840,0.52
"Washington - Public",2014-15,0.54,23071,12446,9949,0.32,5947,8136,0.51
"Washington - Public",2013-14,0.55,23314,12733,9792,0.33,5893,8069,0.51
"Washington - Public",2012-13,0.55,22629,12460,9683,0.33,5727,8089,0.5
"Washington - Public",2011-12,0.53,21383,11373,9931,0.34,5641,7063,0.48
"Washington - Public",2010-11,0.53,20436,10781,9143,0.32,5498,5929,0.49
"Washington - Public",2009-10,0.52,17767,9177,8844,0.3,5320,5317,0.49
"Washington - Private, nonprofit",2016-17,0.63,28829,18162,N/A,N/A,N/A,38432,N/A
"Washington - Private, nonprofit",2015-16,0.62,28940,17943,4141,0.59,7370,36815,0.72
"Washington - Private, nonprofit",2014-15,0.68,29213,19856,3916,0.61,7187,36227,0.73
"Washington - Private, nonprofit",2013-14,0.68,29076,19902,4081,0.6,7446,34928,0.73
"Washington - Private, nonprofit",2012-13,0.69,29773,20480,4193,0.63,7095,33294,0.71
"Washington - Private, nonprofit",2011-12,0.67,28849,19468,4240,0.64,6862,31752,0.72
"Washington - Private, nonprofit",2010-11,0.7,27171,19005,4326,0.64,6928,30282,0.71
"Washington - Private, nonprofit",2009-10,0.7,27245,18958,4069,0.64,7029,29096,0.72
"Washington - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,22343,N/A
"Washington - Private, for-profit",2015-16,N/A,N/A,N/A,3266,0.65,7828,20447,0.69
"Washington - Private, for-profit",2014-15,N/A,N/A,N/A,4170,0.72,7645,17922,0.67
"Washington - Private, for-profit",2013-14,N/A,N/A,N/A,4632,0.71,8054,17311,0.68
"Washington - Private, for-profit",2012-13,N/A,N/A,N/A,5029,0.74,7985,16778,0.68
"Washington - Private, for-profit",2011-12,N/A,N/A,N/A,5575,0.77,8159,16476,0.67
"Washington - Private, for-profit",2010-11,N/A,N/A,N/A,6399,0.75,8213,16613,0.64
"Washington - Private, for-profit",2009-10,N/A,N/A,N/A,9890,0.79,8353,16522,0.64
"West Virginia - Total",2016-17,0.74,27505,20353,N/A,N/A,N/A,9040,N/A
"West Virginia - Total",2015-16,0.77,27708,21335,9694,0.54,6989,8863,0.44
"West Virginia - Total",2014-15,0.68,27713,18816,10137,0.57,6849,8451,0.42
"West Virginia - Total",2013-14,0.69,26854,18635,10732,0.57,6908,7896,0.42
"West Virginia - Total",2012-13,0.7,27320,19105,11169,0.57,6735,7366,0.41
"West Virginia - Total",2011-12,0.54,26227,14275,11346,0.58,6389,6722,0.43
"West Virginia - Total",2010-11,0.64,26258,16836,11800,0.57,6374,6581,0.44
"West Virginia - Total",2009-10,0.73,23678,17374,12083,0.58,6103,6389,0.44
"West Virginia - Public",2016-17,0.75,26940,20205,N/A,N/A,N/A,6637,N/A
"West Virginia - Public",2015-16,0.73,27594,20144,7051,0.5,6755,6323,0.42
"West Virginia - Public",2014-15,0.67,27395,18406,7432,0.52,6575,5867,0.41
"West Virginia - Public",2013-14,0.69,26659,18374,7573,0.51,6562,5431,0.4
"West Virginia - Public",2012-13,0.7,27264,18953,8182,0.52,6429,5060,0.38
"West Virginia - Public",2011-12,0.53,26122,13902,8581,0.54,6124,4755,0.41
"West Virginia - Public",2010-11,0.63,25029,15675,8685,0.53,6060,4464,0.42
"West Virginia - Public",2009-10,0.7,20090,14053,8643,0.54,5691,4379,0.41
"West Virginia - Private, nonprofit",2016-17,0.7,31222,21855,N/A,N/A,N/A,27574,N/A
"West Virginia - Private, nonprofit",2015-16,0.86,27922,24013,1350,0.72,7294,26013,0.47
"West Virginia - Private, nonprofit",2014-15,0.77,31163,23892,1483,0.75,7634,25201,0.47
"West Virginia - Private, nonprofit",2013-14,0.76,29325,22285,1638,0.78,7349,23998,0.5
"West Virginia - Private, nonprofit",2012-13,0.75,27997,21085,1543,0.74,7365,23181,0.52
"West Virginia - Private, nonprofit",2011-12,N/A,N/A,N/A,1326,0.76,7071,20988,0.52
"West Virginia - Private, nonprofit",2010-11,0.73,32351,23518,1604,0.7,7048,20101,0.5
"West Virginia - Private, nonprofit",2009-10,0.81,30365,24518,1661,0.68,7093,18244,0.51
"West Virginia - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,12460,N/A
"West Virginia - Private, for-profit",2015-16,N/A,N/A,N/A,1293,0.66,7947,12687,0.53
"West Virginia - Private, for-profit",2014-15,N/A,N/A,N/A,1222,0.77,7563,11441,0.41
"West Virginia - Private, for-profit",2013-14,N/A,N/A,N/A,1521,0.84,8155,10925,0.52
"West Virginia - Private, for-profit",2012-13,N/A,N/A,N/A,1444,0.81,7799,10633,0.57
"West Virginia - Private, for-profit",2011-12,N/A,N/A,N/A,1439,0.83,7342,9479,0.56
"West Virginia - Private, for-profit",2010-11,N/A,N/A,N/A,1511,0.73,7464,10078,0.55
"West Virginia - Private, for-profit",2009-10,N/A,N/A,N/A,1779,0.74,7181,9494,0.56
"Wyoming - Total",2016-17,0.47,22524,10586,N/A,N/A,N/A,3784,N/A
"Wyoming - Total",2015-16,0.45,25378,11420,1587,0.35,6014,3695,0.5
"Wyoming - Total",2014-15,0.46,22683,10434,1602,0.38,6383,3490,0.49
"Wyoming - Total",2013-14,0.46,23708,10906,2169,0.42,11687,3301,0.46
"Wyoming - Total",2012-13,0.48,22879,10982,2606,0.46,13449,3199,0.51
"Wyoming - Total",2011-12,0.47,21241,9983,2408,0.45,11213,3125,0.49
"Wyoming - Total",2010-11,0.47,23341,10970,2782,0.47,12897,2768,0.5
"Wyoming - Total",2009-10,0.42,20571,8640,3109,0.5,9692,2695,0.5
"Wyoming - Public",2016-17,0.47,22524,10586,N/A,N/A,N/A,3784,N/A
"Wyoming - Public",2015-16,0.45,25378,11420,1294,0.31,5609,3644,0.42
"Wyoming - Public",2014-15,0.46,22683,10434,1262,0.34,5556,3466,0.4
"Wyoming - Public",2013-14,0.46,23708,10906,1371,0.33,5424,3257,0.4
"Wyoming - Public",2012-13,0.48,22879,10982,1521,0.36,5039,3088,0.38
"Wyoming - Public",2011-12,0.47,21241,9983,1301,0.31,4898,2960,0.38
"Wyoming - Public",2010-11,0.47,23341,10970,1251,0.3,4866,2768,0.4
"Wyoming - Public",2009-10,0.42,20571,8640,1457,0.33,4789,2695,0.39
"Wyoming - Private, nonprofit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Wyoming - Private, nonprofit",2015-16,N/A,N/A,N/A,258,0.71,8207,16968,0.77
"Wyoming - Private, nonprofit",2014-15,N/A,N/A,N/A,7,1,8279,16968,0.22
"Wyoming - Private, nonprofit",2013-14,N/A,N/A,N/A,16,0.89,12027,17211,0.18
"Wyoming - Private, nonprofit",2012-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Wyoming - Private, nonprofit",2011-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Wyoming - Private, nonprofit",2010-11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Wyoming - Private, nonprofit",2009-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Wyoming - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Wyoming - Private, for-profit",2015-16,N/A,N/A,N/A,35,0.78,4826,N/A,0.93
"Wyoming - Private, for-profit",2014-15,N/A,N/A,N/A,333,0.68,9476,N/A,0.78
"Wyoming - Private, for-profit",2013-14,N/A,N/A,N/A,782,0.8,22660,N/A,0.78
"Wyoming - Private, for-profit",2012-13,N/A,N/A,N/A,1085,0.82,25237,15019,0.76
"Wyoming - Private, for-profit",2011-12,N/A,N/A,N/A,1107,0.9,18635,14429,0.77
"Wyoming - Private, for-profit",2010-11,N/A,N/A,N/A,1531,0.89,19459,N/A,0.8
"Wyoming - Private, for-profit",2009-10,N/A,N/A,N/A,1652,0.9,14016,N/A,0.79

"Citation: The Institute for College Access & Success, College InSight, http://www.college-insight.org.",,
"Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).",,
"  Derived variables and aggregate figures for states, sectors, and other groupings of colleges were calculated as described under ""About the Data.""",,
"  Student debt and undergraduate financial aid data are licensed from Peterson's Undergraduate Financial Aid",,
"  and Undergraduate Databases, (c) 2018 Peterson's LLC, all rights reserved.",,
"  All data may be reproduced, with attribution, subject to the restrictions of our Creative Commons license (https://creativecommons.org/licenses/by-nc-nd/3.0/). ",,
