"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"Kentucky - Private, nonprofit",2009-10,0.75,19754,14724,3873,0.64,5889,18997,0.52
"Kentucky - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,17731,N/A
"Kentucky - Private, for-profit",2015-16,N/A,N/A,N/A,1508,0.75,7734,17017,0.45
"Kentucky - Private, for-profit",2014-15,N/A,N/A,N/A,1994,0.76,8042,16006,0.48
"Kentucky - Private, for-profit",2013-14,N/A,N/A,N/A,2116,0.81,8216,15154,0.44
"Kentucky - Private, for-profit",2012-13,N/A,N/A,N/A,2153,0.79,7719,14796,0.45
"Kentucky - Private, for-profit",2011-12,N/A,N/A,N/A,2718,0.82,8117,14652,0.44
"Kentucky - Private, for-profit",2010-11,N/A,N/A,N/A,3772,0.8,8029,14100,0.51
"Kentucky - Private, for-profit",2009-10,N/A,N/A,N/A,4980,0.8,9802,13152,0.53
"Louisiana - Total",2016-17,0.48,27210,13061,N/A,N/A,N/A,11073,N/A
"Louisiana - Total",2015-16,0.5,27138,13569,23209,0.52,5928,10282,0.45
"Louisiana - Total",2014-15,0.51,26865,13785,22138,0.51,5948,9432,0.45
"Louisiana - Total",2013-14,0.47,23025,10729,22467,0.51,6315,8922,0.45
"Louisiana - Total",2012-13,0.48,23358,11243,21714,0.49,6091,8402,0.45
"Louisiana - Total",2011-12,0.48,22789,10835,21868,0.48,5861,7843,0.44
"Louisiana - Total",2010-11,0.45,22697,10204,21894,0.47,5741,7249,0.42
"Louisiana - Total",2009-10,0.48,24548,11803,21691,0.47,5568,6710,0.4
"Louisiana - Public",2016-17,0.49,25970,12725,N/A,N/A,N/A,7500,N/A
"Louisiana - Public",2015-16,0.48,25948,12455,13893,0.45,5576,6936,0.39
"Louisiana - Public",2014-15,0.5,26156,13017,12256,0.4,5595,6146,0.38
"Louisiana - Public",2013-14,0.44,20844,9210,12556,0.41,5794,5514,0.36
"Louisiana - Public",2012-13,0.45,21640,9719,12338,0.41,5641,4860,0.36
"Louisiana - Public",2011-12,0.46,21112,9671,12215,0.39,5251,4302,0.36
"Louisiana - Public",2010-11,0.42,19946,8406,11321,0.36,5091,3881,0.36
"Louisiana - Public",2009-10,0.46,23184,10687,11172,0.36,4889,3482,0.33
"Louisiana - Private, nonprofit",2016-17,0.47,31849,14969,N/A,N/A,N/A,35477,N/A
"Louisiana - Private, nonprofit",2015-16,0.56,29951,16772,2183,0.52,7867,34757,0.59
"Louisiana - Private, nonprofit",2014-15,0.56,28794,16143,2535,0.61,7743,33043,0.6
"Louisiana - Private, nonprofit",2013-14,0.54,28605,15490,2518,0.6,7745,32160,0.62
"Louisiana - Private, nonprofit",2012-13,0.59,27775,16400,2629,0.58,7361,30707,0.6
"Louisiana - Private, nonprofit",2011-12,0.55,28486,15550,2925,0.6,7368,28628,0.61
"Louisiana - Private, nonprofit",2010-11,0.58,32107,18713,2596,0.61,6780,28560,0.42
"Louisiana - Private, nonprofit",2009-10,0.58,29971,17387,2350,0.56,6427,27038,0.53
"Louisiana - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,11417,N/A
"Louisiana - Private, for-profit",2015-16,N/A,N/A,N/A,7133,0.76,6021,12805,0.61
"Louisiana - Private, for-profit",2014-15,N/A,N/A,N/A,7347,0.78,5919,12422,0.6
"Louisiana - Private, for-profit",2013-14,N/A,N/A,N/A,7393,0.8,6713,14155,0.65
"Louisiana - Private, for-profit",2012-13,N/A,N/A,N/A,6747,0.73,6419,13450,0.67
"Louisiana - Private, for-profit",2011-12,N/A,N/A,N/A,6728,0.71,6312,13566,0.64
"Louisiana - Private, for-profit",2010-11,N/A,N/A,N/A,7977,0.71,6325,13850,0.61
"Louisiana - Private, for-profit",2009-10,N/A,N/A,N/A,8169,0.74,6251,13393,0.61
"Maine - Total",2016-17,0.56,31364,17564,N/A,N/A,N/A,18360,N/A
"Maine - Total",2015-16,0.55,31295,17212,6585,0.61,7682,18009,0.51
"Maine - Total",2014-15,0.63,29644,18747,6708,0.62,7496,17428,0.5
"Maine - Total",2013-14,0.68,30908,21100,7547,0.65,7506,16798,0.48
"Maine - Total",2012-13,0.64,29934,19214,7340,0.63,7791,16160,0.48
"Maine - Total",2011-12,0.67,29290,19588,7845,0.66,7174,15709,0.5
"Maine - Total",2010-11,0.71,26046,18363,8105,0.66,7283,15003,0.51
"Maine - Total",2009-10,0.63,26538,16596,8061,0.65,7766,11725,0.51
"Maine - Public",2016-17,0.76,34092,25910,N/A,N/A,N/A,7509,N/A
"Maine - Public",2015-16,0.76,33970,25817,3975,0.63,7037,7395,0.38
"Maine - Public",2014-15,0.79,31595,24996,4064,0.65,7063,7496,0.38
"Maine - Public",2013-14,0.8,32345,25788,4431,0.66,6932,7495,0.38
"Maine - Public",2012-13,0.77,31449,24249,4353,0.66,7083,7232,0.37
"Maine - Public",2011-12,0.78,29756,23205,4460,0.67,6707,7297,0.39
"Maine - Public",2010-11,0.78,26670,20753,4559,0.67,7253,6864,0.4
"Maine - Public",2009-10,0.7,28289,19667,4419,0.65,7327,6612,0.39
"Maine - Private, nonprofit",2016-17,0.39,26582,10367,N/A,N/A,N/A,37180,N/A
"Maine - Private, nonprofit",2015-16,0.36,26170,9421,2068,0.57,9301,36615,0.7
"Maine - Private, nonprofit",2014-15,0.42,24608,10254,1980,0.57,8838,35423,0.71
"Maine - Private, nonprofit",2013-14,0.52,27811,14499,2013,0.58,8942,34265,0.69
"Maine - Private, nonprofit",2012-13,0.46,26281,12015,1834,0.54,9306,33721,0.68
"Maine - Private, nonprofit",2011-12,0.5,28167,14029,2041,0.59,8347,32022,0.68
"Maine - Private, nonprofit",2010-11,0.52,23630,12212,2174,0.6,8053,30416,0.69
"Maine - Private, nonprofit",2009-10,0.5,22251,11168,2050,0.58,8529,25008,0.68
"Maine - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,11601,N/A
"Maine - Private, for-profit",2015-16,N/A,N/A,N/A,542,0.62,6241,11250,0.65
"Maine - Private, for-profit",2014-15,N/A,N/A,N/A,664,0.63,6140,10742,0.56
"Maine - Private, for-profit",2013-14,N/A,N/A,N/A,1103,0.74,7193,10720,0.47
"Maine - Private, for-profit",2012-13,N/A,N/A,N/A,1153,0.73,8053,10755,0.48
"Maine - Private, for-profit",2011-12,N/A,N/A,N/A,1344,0.77,6938,24204,0.59
"Maine - Private, for-profit",2010-11,N/A,N/A,N/A,1372,0.73,6162,12254,0.55
"Maine - Private, for-profit",2009-10,N/A,N/A,N/A,1592,0.77,8002,12596,0.6
"Michigan - Total",2016-17,0.58,31289,18148,N/A,N/A,N/A,12662,N/A
"Michigan - Total",2015-16,0.63,30852,19437,38244,0.51,6593,11998,0.47
"Michigan - Total",2014-15,0.63,30045,19032,41134,0.53,6670,11389,0.45
"Michigan - Total",2013-14,0.62,29450,18367,43563,0.54,6717,11061,0.46
"Michigan - Total",2012-13,0.63,29586,18538,47144,0.57,6636,10499,0.45
"Michigan - Total",2011-12,0.62,28742,17680,50062,0.59,6705,9847,0.46
"Michigan - Total",2010-11,0.62,27436,16991,53586,0.58,6907,9187,0.47
"Michigan - Total",2009-10,0.6,25575,15464,56064,0.57,6865,8797,0.47
"Michigan - Public",2016-17,0.56,30910,17310,N/A,N/A,N/A,9926,N/A
"Michigan - Public",2015-16,0.63,30423,19166,27220,0.47,6114,9384,0.46
"Michigan - Public",2014-15,0.62,29747,18519,28578,0.48,6265,9007,0.45
"Michigan - Public",2013-14,0.61,29142,17784,29087,0.49,6158,8702,0.44
"Michigan - Public",2012-13,0.61,29092,17841,32052,0.53,6077,8277,0.43
"Michigan - Public",2011-12,0.6,28147,16850,33655,0.55,6261,7789,0.42
"Michigan - Public",2010-11,0.6,26937,16229,32861,0.52,6200,7226,0.44
"Michigan - Public",2009-10,0.59,24854,14600,30849,0.48,6087,6856,0.45
"Michigan - Private, nonprofit",2016-17,0.7,33257,23280,N/A,N/A,N/A,27086,N/A
"Michigan - Private, nonprofit",2015-16,0.67,32827,21994,7307,0.65,7859,24810,0.43
"Michigan - Private, nonprofit",2014-15,0.71,31935,22740,7384,0.63,7708,23470,0.4
"Michigan - Private, nonprofit",2013-14,0.73,31534,23095,8221,0.64,7483,21289,0.42
"Michigan - Private, nonprofit",2012-13,0.72,32462,23287,8688,0.64,7349,20152,0.42
"Michigan - Private, nonprofit",2011-12,0.73,32030,23235,8746,0.64,7015,18713,0.42
"Michigan - Private, nonprofit",2010-11,0.74,30310,22363,9319,0.65,6756,17469,0.42
"Michigan - Private, nonprofit",2009-10,0.73,29735,21640,10131,0.66,6725,16207,0.42
"Michigan - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,18176,N/A
"Michigan - Private, for-profit",2015-16,N/A,N/A,N/A,3717,0.72,7611,17868,0.6
"Michigan - Private, for-profit",2014-15,N/A,N/A,N/A,5172,0.74,7425,16832,0.56
"Michigan - Private, for-profit",2013-14,N/A,N/A,N/A,6255,0.74,8309,16782,0.59
"Michigan - Private, for-profit",2012-13,N/A,N/A,N/A,6404,0.73,8465,15566,0.62
"Michigan - Private, for-profit",2011-12,N/A,N/A,N/A,7661,0.83,8302,14730,0.63
"Michigan - Private, for-profit",2010-11,N/A,N/A,N/A,11406,0.81,9064,14563,0.65
"Michigan - Private, for-profit",2009-10,N/A,N/A,N/A,15084,0.82,8550,15435,0.61
"Minnesota - Total",2016-17,0.68,31734,21579,N/A,N/A,N/A,16097,N/A
"Minnesota - Total",2015-16,0.68,31915,21702,22474,0.57,7765,15814,0.53
"Minnesota - Total",2014-15,0.7,31526,22152,24354,0.6,7598,15400,0.52
"Minnesota - Total",2013-14,0.7,31579,22091,25791,0.61,7474,14990,0.52
"Minnesota - Total",2012-13,0.7,30894,21708,27186,0.63,7448,14564,0.5
"Minnesota - Total",2011-12,0.7,31497,22061,28915,0.64,7495,13783,0.49
"Minnesota - Total",2010-11,0.71,30100,21465,31220,0.64,7274,12858,0.49
"Minnesota - Total",2009-10,0.71,29058,20752,32546,0.63,7214,12040,0.49
"Minnesota - Public",2016-17,0.68,29467,20038,N/A,N/A,N/A,8712,N/A
"Minnesota - Public",2015-16,0.67,30091,20161,15213,0.54,7203,8594,0.47
"Minnesota - Public",2014-15,0.69,29377,20354,16070,0.57,7000,8423,0.45
"Minnesota - Public",2013-14,0.69,29800,20419,16990,0.58,6862,8340,0.44
"Minnesota - Public",2012-13,0.69,29657,20566,17807,0.59,6834,8197,0.42
"Minnesota - Public",2011-12,0.69,29958,20567,19122,0.62,6886,7869,0.42
"Minnesota - Public",2010-11,0.7,28907,20261,20390,0.61,6519,7329,0.42
"Minnesota - Public",2009-10,0.7,27613,19256,20566,0.59,6404,6810,0.41
"Minnesota - Private, nonprofit",2016-17,0.69,35678,24618,N/A,N/A,N/A,37412,N/A
"Minnesota - Private, nonprofit",2015-16,0.7,34937,24456,6500,0.64,8875,36374,0.72
"Minnesota - Private, nonprofit",2014-15,0.72,35832,25913,6613,0.65,8687,35363,0.72
"Minnesota - Private, nonprofit",2013-14,0.73,34665,25162,6825,0.64,8585,34050,0.71
"Minnesota - Private, nonprofit",2012-13,0.72,33305,24022,6967,0.67,8340,32952,0.71
"Minnesota - Private, nonprofit",2011-12,0.73,34221,24857,7025,0.67,8314,31426,0.7
"Minnesota - Private, nonprofit",2010-11,0.73,32128,23610,7316,0.68,7913,29805,0.7
"Minnesota - Private, nonprofit",2009-10,0.74,31400,23334,6885,0.65,7779,28214,0.7
"Minnesota - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,14898,N/A
"Minnesota - Private, for-profit",2015-16,N/A,N/A,N/A,761,0.75,9532,16615,0.47
"Minnesota - Private, for-profit",2014-15,N/A,N/A,N/A,1671,0.79,9044,15726,0.46
"Minnesota - Private, for-profit",2013-14,N/A,N/A,N/A,1976,0.83,8896,15574,0.57
"Minnesota - Private, for-profit",2012-13,N/A,N/A,N/A,2412,0.83,9401,16045,0.55
"Minnesota - Private, for-profit",2011-12,N/A,N/A,N/A,2768,0.8,9625,16460,0.57
"Minnesota - Private, for-profit",2010-11,N/A,N/A,N/A,3514,0.81,10326,16451,0.56
"Minnesota - Private, for-profit",2009-10,N/A,N/A,N/A,5095,0.83,9720,17408,0.59

"Citation: The Institute for College Access & Success, College InSight, http://www.college-insight.org.",,
"Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).",,
"  Derived variables and aggregate figures for states, sectors, and other groupings of colleges were calculated as described under ""About the Data.""",,
"  Student debt and undergraduate financial aid data are licensed from Peterson's Undergraduate Financial Aid",,
"  and Undergraduate Databases, (c) 2018 Peterson's LLC, all rights reserved.",,
"  All data may be reproduced, with attribution, subject to the restrictions of our Creative Commons license (https://creativecommons.org/licenses/by-nc-nd/3.0/). ",,
