"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"Connecticut - Total",2011-12,0.61,27816,16918,18837,0.53,7591,18272,0.54
"Connecticut - Total",2010-11,0.62,28433,17768,20628,0.53,7371,17384,0.55
"Connecticut - Total",2009-10,0.61,26392,16083,20603,0.53,7477,16274,0.56
"Connecticut - Public",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,8977,N/A
"Connecticut - Public",2015-16,0.76,29418,22358,5633,0.37,6773,8478,0.45
"Connecticut - Public",2014-15,0.75,28176,21028,5632,0.37,6656,7926,0.45
"Connecticut - Public",2013-14,0.65,24831,16181,5732,0.36,7522,7670,0.43
"Connecticut - Public",2012-13,0.65,25348,16519,5592,0.36,6608,6958,0.41
"Connecticut - Public",2011-12,0.64,23972,15405,5996,0.37,6226,6664,0.4
"Connecticut - Public",2010-11,0.69,24402,16803,5669,0.34,6117,6442,0.4
"Connecticut - Public",2009-10,0.65,22443,14515,5607,0.34,5997,6041,0.41
"Connecticut - Private, nonprofit",2016-17,0.56,38824,21741,N/A,N/A,N/A,42713,N/A
"Connecticut - Private, nonprofit",2015-16,0.54,38607,20848,6390,0.57,9878,40949,0.71
"Connecticut - Private, nonprofit",2014-15,0.59,39230,23010,6386,0.58,9384,39466,0.71
"Connecticut - Private, nonprofit",2013-14,0.59,36242,21228,6213,0.57,9691,38282,0.69
"Connecticut - Private, nonprofit",2012-13,0.63,36236,22941,5969,0.56,9469,37086,0.73
"Connecticut - Private, nonprofit",2011-12,0.56,33741,18957,6187,0.59,8864,35598,0.72
"Connecticut - Private, nonprofit",2010-11,0.56,33459,18748,6381,0.59,8488,33792,0.73
"Connecticut - Private, nonprofit",2009-10,0.56,32316,18122,6234,0.58,8845,31933,0.75
"Connecticut - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,17031,N/A
"Connecticut - Private, for-profit",2015-16,N/A,N/A,N/A,4696,0.79,7493,17243,0.65
"Connecticut - Private, for-profit",2014-15,N/A,N/A,N/A,5319,0.8,7744,17250,0.61
"Connecticut - Private, for-profit",2013-14,N/A,N/A,N/A,5900,0.81,7992,19528,0.6
"Connecticut - Private, for-profit",2012-13,N/A,N/A,N/A,6256,0.79,7768,22417,0.61
"Connecticut - Private, for-profit",2011-12,N/A,N/A,N/A,6654,0.77,7636,21418,0.61
"Connecticut - Private, for-profit",2010-11,N/A,N/A,N/A,8578,0.78,7369,20441,0.62
"Connecticut - Private, for-profit",2009-10,N/A,N/A,N/A,8762,0.76,7452,22473,0.63
"District of Columbia - Total",2016-17,0.46,30775,14156,N/A,N/A,N/A,42922,N/A
"District of Columbia - Total",2015-16,0.53,31054,16459,5521,0.52,7496,40297,0.74
"District of Columbia - Total",2014-15,0.55,31452,17327,6080,0.58,7513,39246,0.72
"District of Columbia - Total",2013-14,N/A,N/A,N/A,5907,0.57,7540,37403,0.72
"District of Columbia - Total",2012-13,N/A,N/A,N/A,5342,0.55,7656,36583,0.71
"District of Columbia - Total",2011-12,0.56,22106,12286,5421,0.56,7071,34271,0.71
"District of Columbia - Total",2010-11,0.52,28241,14771,5344,0.54,6868,32760,0.72
"District of Columbia - Total",2009-10,0.54,24191,12949,5441,0.55,7300,30093,0.76
"District of Columbia - Public",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,5612,N/A
"District of Columbia - Public",2015-16,0.67,22964,15386,67,0.3,5530,5251,0.13
"District of Columbia - Public",2014-15,N/A,N/A,N/A,84,0.43,5945,5251,0.15
"District of Columbia - Public",2013-14,N/A,N/A,N/A,134,0.56,5592,5138,0.13
"District of Columbia - Public",2012-13,N/A,N/A,N/A,114,0.56,5474,7244,0.16
"District of Columbia - Public",2011-12,N/A,N/A,N/A,134,0.41,2989,7000,0.15
"District of Columbia - Public",2010-11,N/A,N/A,N/A,97,0.21,2620,7000,0.17
"District of Columbia - Public",2009-10,N/A,N/A,N/A,116,0.25,1833,3000,0.12
"District of Columbia - Private, nonprofit",2016-17,0.46,30775,14156,N/A,N/A,N/A,44255,N/A
"District of Columbia - Private, nonprofit",2015-16,0.53,31129,16498,4259,0.48,7724,41376,0.77
"District of Columbia - Private, nonprofit",2014-15,0.55,31452,17327,4667,0.55,7378,40183,0.77
"District of Columbia - Private, nonprofit",2013-14,N/A,N/A,N/A,4373,0.52,7485,38450,0.76
"District of Columbia - Private, nonprofit",2012-13,N/A,N/A,N/A,4027,0.49,7843,37555,0.76
"District of Columbia - Private, nonprofit",2011-12,0.56,22106,12286,4418,0.54,7287,35549,0.75
"District of Columbia - Private, nonprofit",2010-11,0.52,28241,14771,4464,0.53,7126,34362,0.76
"District of Columbia - Private, nonprofit",2009-10,0.51,26932,13729,4618,0.54,7774,32875,0.81
"District of Columbia - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,13569,N/A
"District of Columbia - Private, for-profit",2015-16,N/A,N/A,N/A,1195,0.83,6793,13291,0.6
"District of Columbia - Private, for-profit",2014-15,N/A,N/A,N/A,1329,0.75,8084,12693,0.55
"District of Columbia - Private, for-profit",2013-14,N/A,N/A,N/A,1400,0.84,7898,12843,0.55
"District of Columbia - Private, for-profit",2012-13,N/A,N/A,N/A,1201,0.92,7235,12518,0.54
"District of Columbia - Private, for-profit",2011-12,N/A,N/A,N/A,869,0.76,6603,11736,0.5
"District of Columbia - Private, for-profit",2010-11,N/A,N/A,N/A,783,0.82,5923,12316,0.5
"District of Columbia - Private, for-profit",2009-10,N/A,N/A,N/A,707,0.78,5098,14307,0.52
"Delaware - Total",2016-17,0.62,34144,21169,N/A,N/A,N/A,10953,N/A
"Delaware - Total",2015-16,0.63,33838,21318,4871,0.51,7563,10908,0.54
"Delaware - Total",2014-15,0.65,33849,21878,5199,0.52,7516,10639,0.55
"Delaware - Total",2013-14,0.62,33808,20950,5358,0.52,7484,10043,0.53
"Delaware - Total",2012-13,0.62,32571,20194,5837,0.51,7070,9899,0.54
"Delaware - Total",2011-12,0.56,33649,18843,6649,0.54,6839,9259,0.52
"Delaware - Total",2010-11,N/A,N/A,N/A,6183,0.53,6310,8615,0.51
"Delaware - Total",2009-10,N/A,N/A,N/A,6307,0.55,6657,8300,0.51
"Delaware - Public",2016-17,0.62,34144,21169,N/A,N/A,N/A,9831,N/A
"Delaware - Public",2015-16,0.63,33838,21318,3267,0.46,8119,9679,0.55
"Delaware - Public",2014-15,0.65,33849,21878,3317,0.46,8085,9406,0.56
"Delaware - Public",2013-14,0.62,33808,20950,3217,0.44,7913,8888,0.53
"Delaware - Public",2012-13,0.62,32571,20194,3347,0.46,7414,8650,0.54
"Delaware - Public",2011-12,0.56,33649,18843,3475,0.45,7226,8080,0.52
"Delaware - Public",2010-11,N/A,N/A,N/A,2796,0.39,6888,7374,0.49
"Delaware - Public",2009-10,N/A,N/A,N/A,3200,0.43,7415,7040,0.49
"Delaware - Private, nonprofit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,20190,N/A
"Delaware - Private, nonprofit",2015-16,N/A,N/A,N/A,699,0.72,6257,19896,0.34
"Delaware - Private, nonprofit",2014-15,N/A,N/A,N/A,697,0.7,6962,19699,0.28
"Delaware - Private, nonprofit",2013-14,N/A,N/A,N/A,793,0.8,7257,18357,0.34
"Delaware - Private, nonprofit",2012-13,N/A,N/A,N/A,851,0.76,7245,18464,0.35
"Delaware - Private, nonprofit",2011-12,N/A,N/A,N/A,925,0.73,8060,16778,0.38
"Delaware - Private, nonprofit",2010-11,N/A,N/A,N/A,896,0.79,6900,16285,0.38
"Delaware - Private, nonprofit",2009-10,N/A,N/A,N/A,962,0.84,6973,16330,0.38
"Delaware - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,12975,N/A
"Delaware - Private, for-profit",2015-16,N/A,N/A,N/A,905,0.65,6566,12975,0.67
"Delaware - Private, for-profit",2014-15,N/A,N/A,N/A,1185,0.7,6250,12975,0.64
"Delaware - Private, for-profit",2013-14,N/A,N/A,N/A,1348,0.71,6591,15495,0.64
"Delaware - Private, for-profit",2012-13,N/A,N/A,N/A,1639,0.54,6277,10240,0.65
"Delaware - Private, for-profit",2011-12,N/A,N/A,N/A,2249,0.68,5739,10212,0.64
"Delaware - Private, for-profit",2010-11,N/A,N/A,N/A,2491,0.73,5449,N/A,0.65
"Delaware - Private, for-profit",2009-10,N/A,N/A,N/A,2145,0.75,5386,N/A,0.7

"Citation: The Institute for College Access & Success, College InSight, http://www.college-insight.org.",,
"Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).",,
"  Derived variables and aggregate figures for states, sectors, and other groupings of colleges were calculated as described under ""About the Data.""",,
"  Student debt and undergraduate financial aid data are licensed from Peterson's Undergraduate Financial Aid",,
"  and Undergraduate Databases, (c) 2018 Peterson's LLC, all rights reserved.",,
"  All data may be reproduced, with attribution, subject to the restrictions of our Creative Commons license (https://creativecommons.org/licenses/by-nc-nd/3.0/). ",,
