"Table generated on 04/16/2019"

Name,Year,"Percent of graduates with debt","Average debt of graduates","Per capita debt of graduates","Full-time freshmen who received any student loans (#)","% of full-time freshmen who received any student loans","Average amount of student loans received by full-time freshmen who borrowed","Tuition and fees (in-district/in-state)","Graduation rate (within 150% of normal time)"
"Arkansas - Private, for-profit",2012-13,N/A,N/A,N/A,1526,0.76,6699,13687,0.54
"Arkansas - Private, for-profit",2011-12,N/A,N/A,N/A,1929,0.77,6846,15713,0.52
"Arkansas - Private, for-profit",2010-11,N/A,N/A,N/A,2265,0.73,6596,14421,0.56
"Arkansas - Private, for-profit",2009-10,N/A,N/A,N/A,2991,0.77,6721,15276,0.54
"Arizona - Total",2016-17,0.54,23967,12942,N/A,N/A,N/A,8827,N/A
"Arizona - Total",2015-16,0.49,23447,11489,31966,0.48,7625,8923,0.31
"Arizona - Total",2014-15,0.56,23780,13380,39170,0.54,7409,8633,0.27
"Arizona - Total",2013-14,0.57,22609,12977,39999,0.56,7439,8447,0.27
"Arizona - Total",2012-13,0.56,22242,12477,45163,0.58,7309,8220,0.32
"Arizona - Total",2011-12,0.54,20299,10971,53638,0.62,7352,8145,0.34
"Arizona - Total",2010-11,0.49,19946,9836,43840,0.59,7020,6572,0.35
"Arizona - Total",2009-10,0.47,18454,8736,120653,0.75,9163,8315,0.33
"Arizona - Public",2016-17,0.54,23948,12932,N/A,N/A,N/A,7432,N/A
"Arizona - Public",2015-16,0.49,23433,11482,11759,0.31,6136,7278,0.41
"Arizona - Public",2014-15,0.56,23760,13358,12561,0.33,6068,6928,0.4
"Arizona - Public",2013-14,0.57,22575,12939,12367,0.33,5774,6439,0.38
"Arizona - Public",2012-13,0.56,22170,12365,11997,0.32,5664,6079,0.36
"Arizona - Public",2011-12,0.54,20265,10928,13239,0.35,5524,5815,0.36
"Arizona - Public",2010-11,0.49,20017,9846,11969,0.32,5403,4852,0.41
"Arizona - Public",2009-10,0.47,18984,8842,11292,0.31,5337,4373,0.43
"Arizona - Private, nonprofit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,30020,N/A
"Arizona - Private, nonprofit",2015-16,N/A,N/A,N/A,541,0.52,11266,29200,0.48
"Arizona - Private, nonprofit",2014-15,N/A,N/A,N/A,533,0.61,9892,26627,0.45
"Arizona - Private, nonprofit",2013-14,0.65,25375,16485,629,0.71,9794,27120,0.49
"Arizona - Private, nonprofit",2012-13,N/A,N/A,N/A,347,0.63,10403,27997,0.55
"Arizona - Private, nonprofit",2011-12,N/A,N/A,N/A,374,0.69,8512,26616,0.53
"Arizona - Private, nonprofit",2010-11,N/A,N/A,N/A,374,0.7,8014,25976,0.52
"Arizona - Private, nonprofit",2009-10,0.71,7708,5461,338,0.67,7935,24379,0.57
"Arizona - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,12610,N/A
"Arizona - Private, for-profit",2015-16,N/A,N/A,N/A,19666,0.72,8415,12941,0.26
"Arizona - Private, for-profit",2014-15,N/A,N/A,N/A,26076,0.78,8004,11793,0.23
"Arizona - Private, for-profit",2013-14,N/A,N/A,N/A,27003,0.8,8147,12154,0.24
"Arizona - Private, for-profit",2012-13,N/A,N/A,N/A,32819,0.82,7878,11627,0.3
"Arizona - Private, for-profit",2011-12,N/A,N/A,N/A,40025,0.84,7946,11373,0.34
"Arizona - Private, for-profit",2010-11,N/A,N/A,N/A,31497,0.85,7623,12083,0.32
"Arizona - Private, for-profit",2009-10,N/A,N/A,N/A,109023,0.88,9563,11054,0.29
"California - Total",2016-17,0.5,22785,11392,N/A,N/A,N/A,9712,N/A
"California - Total",2015-16,0.53,22744,12054,96845,0.31,6734,9572,0.54
"California - Total",2014-15,0.54,22191,12054,103643,0.32,6838,9462,0.54
"California - Total",2013-14,0.55,21379,11718,110479,0.34,7128,9352,0.54
"California - Total",2012-13,0.55,20340,11153,116058,0.38,7140,9660,0.54
"California - Total",2011-12,0.52,20270,10619,140447,0.43,6757,9242,0.53
"California - Total",2010-11,0.51,18867,9709,147225,0.42,7012,8276,0.51
"California - Total",2009-10,0.48,18094,8750,162182,0.42,7386,7260,0.53
"California - Public",2016-17,0.5,20382,10191,N/A,N/A,N/A,5339,N/A
"California - Public",2015-16,0.52,20477,10648,41437,0.19,5367,5205,0.48
"California - Public",2014-15,0.53,19344,10259,43367,0.2,5348,5160,0.48
"California - Public",2013-14,0.53,19476,10333,42819,0.2,5472,5087,0.47
"California - Public",2012-13,0.53,18066,9649,42756,0.22,5382,5210,0.44
"California - Public",2011-12,0.5,17994,9071,44243,0.23,5264,4894,0.43
"California - Public",2010-11,0.5,16840,8380,37914,0.19,5092,3747,0.41
"California - Public",2009-10,0.46,15913,7366,36551,0.17,5092,3195,0.44
"California - Private, nonprofit",2016-17,0.51,31493,16062,N/A,N/A,N/A,41300,N/A
"California - Private, nonprofit",2015-16,0.54,29438,15896,15950,0.48,7350,40644,0.73
"California - Private, nonprofit",2014-15,0.59,32305,19198,16738,0.52,7500,39231,0.74
"California - Private, nonprofit",2013-14,0.61,27489,16857,17124,0.54,7590,37791,0.74
"California - Private, nonprofit",2012-13,0.6,28191,17029,17417,0.54,7467,36367,0.75
"California - Private, nonprofit",2011-12,0.62,29037,17919,17664,0.56,7005,35106,0.74
"California - Private, nonprofit",2010-11,0.61,28063,17075,19241,0.59,6893,33712,0.73
"California - Private, nonprofit",2009-10,0.58,26510,15503,16669,0.54,7105,32555,0.73
"California - Private, for-profit",2016-17,N/A,N/A,N/A,N/A,N/A,N/A,21243,N/A
"California - Private, for-profit",2015-16,N/A,N/A,N/A,39458,0.66,7920,19444,0.61
"California - Private, for-profit",2014-15,N/A,N/A,N/A,43538,0.66,8066,17390,0.61
"California - Private, for-profit",2013-14,N/A,N/A,N/A,50536,0.68,8376,17806,0.62
"California - Private, for-profit",2012-13,N/A,N/A,N/A,55885,0.71,8383,17621,0.66
"California - Private, for-profit",2011-12,N/A,N/A,N/A,78540,0.76,7542,17069,0.67
"California - Private, for-profit",2010-11,N/A,N/A,N/A,90070,0.76,7845,16642,0.65
"California - Private, for-profit",2009-10,N/A,N/A,N/A,108962,0.73,8199,18471,0.64

"Citation: The Institute for College Access & Success, College InSight, http://www.college-insight.org.",,
"Most college-level data are taken directly from U.S. Department of Education sources and the Common Data Set (CDS).",,
"  Derived variables and aggregate figures for states, sectors, and other groupings of colleges were calculated as described under ""About the Data.""",,
"  Student debt and undergraduate financial aid data are licensed from Peterson's Undergraduate Financial Aid",,
"  and Undergraduate Databases, (c) 2018 Peterson's LLC, all rights reserved.",,
"  All data may be reproduced, with attribution, subject to the restrictions of our Creative Commons license (https://creativecommons.org/licenses/by-nc-nd/3.0/). ",,
